algoritmo,acuracia_media,explicabilidade_score,tempo_medio,score_tradeoff,n
XGBoost,93.0324718244631,6,12.503171676933839,0.6502417733991732,2
Decision Tree,84.66885212762455,9,9.799226012359995,0.6346907853198311,11
Naive Bayes,83.49535589636625,8,6.889989033446964,0.5911231676718207,4
Random Forest,90.51040126376961,5,9.26811897980478,0.5841445993975041,33
Deep Learning,94.69947404146228,2,8.790797988816841,0.5432248810498939,15
PLS-DA,84.62820234793082,7,13.079699366335172,0.5339156293767772,8
Neural Network,92.11702647926397,3,9.945668495058738,0.529217713901094,28
SVM,90.42511576277194,4,12.341338931799863,0.5238237215566077,47
