"Feature","Tipo","Correlacao","PValue","Significativo","Tendencia"
"SVM","Algoritmo",0.788060726418052,0.000287978670797205,TRUE,"Increasing"
"GradientBoosting","Algoritmo",0.712654947296716,0.00194666972016776,TRUE,"Increasing"
"RandomForest","Algoritmo",0.677246629642915,0.00395064525480181,TRUE,"Increasing"
"DecisionTree","Algoritmo",0.672167279920593,0.00434006749297946,TRUE,"Increasing"
"Wine","Produto",0.615186054419816,0.0111980541367816,TRUE,"Increasing"
"NeuralNetwork","Algoritmo",0.592039374463416,0.0156847264242111,TRUE,"Increasing"
"KNN","Algoritmo",0.518822298802701,0.0394740412106165,TRUE,"Increasing"
"Honey","Produto",0.367406296581281,0.161527962744651,FALSE,"Increasing"
"Olive","Produto",0.117503997985105,0.664727003972895,FALSE,"Increasing"
